SKU,CustomsDescription,CustomsTariffNo,CustomsCountry
2025Q4-DAI-AUT,Planner agenda (bound diary),4820102010,CA
25-DLP-AUT-IM,Planner agenda (bound diary),4820102010,CA
2025Q4-DAI-CHA,Planner agenda (bound diary),4820102010,CA
25-DLP-ELD-IM-AA,Planner agenda (bound diary),4820102010,CA
25-DLP-ELD-IM-AB,Planner agenda (bound diary),4820102010,CA
2025Q4-DAI-ELD,Planner agenda (bound diary),4820102010,CA
25-DLP-ELD-IM,Planner agenda (bound diary),4820102010,CA
25-DLP-ENC-IM,Planner agenda (bound diary),4820102010,CA
25-DLP-LIL-IM,Planner agenda (bound diary),4820102010,CA
2025Q4-DAI-LIL,Planner agenda (bound diary),4820102010,CA
2025Q4-DAI-MID,Planner agenda (bound diary),4820102010,CA
25-DLP-MO-IM,Planner agenda (bound diary),4820102010,CA
25-DLP-NIM-IMP,Planner agenda (bound diary),4820102010,CA
25-DLP-NIM-IM,Planner agenda (bound diary),4820102010,CA
25-DLP-RIV-IM,Planner agenda (bound diary),4820102010,CA
2025Q4-DAI-RIV,Planner agenda (bound diary),4820102010,CA
25-DLP-TDL-IM,Planner agenda (bound diary),4820102010,CA
2025Q4-DAI-TOI,Planner agenda (bound diary),4820102010,CA
25-DLP-WO-IM,Planner agenda (bound diary),4820102010,CA
2025Q4-DAI-WIL,Planner agenda (bound diary),4820102010,CA
INSHR-A5DISC-25W-MS,Planner inserts (loose refills),4820900000,CA
INSHR-CLHP-25W-MS,Planner inserts (loose refills),4820900000,CA
INSHR-HL-25W-MS,Planner inserts (loose refills),4820900000,CA
INSHR-A5-25W-MS,Planner inserts (loose refills),4820900000,CA
INSHR-CLHP-25W-SS,Planner inserts (loose refills),4820900000,CA
INSHR-HL-25W-SS,Planner inserts (loose refills),4820900000,CA
INSHR-A5-25W-SS,Planner inserts (loose refills),4820900000,CA
25-MIN-A5-AUT-IM,Planner agenda (bound diary),4820102010,CA
25-MIN-A5-AUT-IM-AA,Planner agenda (bound diary),4820102010,CA
25-MIN-A5-CHB-IM,Planner agenda (bound diary),4820102010,CA
25-MIN-A5-ELD-IM,Planner agenda (bound diary),4820102010,CA
25-MIN-A5-ECF-IM,Planner agenda (bound diary),4820102010,CA
